os;Profondeur;Annee;os_yr;Traitement;Num_ech ;ADN;plan_plaque;Nom_Ech;code
PP;0-15;2022;PP_2022;C;1;256;A1;1_2022;MET250125
PP;30-50;2022;PP_2022;C;13;65;B1;13_2022;MET250126
PP;0-15;2022;PP_2022;C;2;229;A2;2_2022;MET250131
PP;30-50;2022;PP_2022;C;14;60;B2;14_2022;MET250132
PP;0-15;2022;PP_2022;C;3;259;A3;3_2022;MET250137
PP;30-50;2022;PP_2022;C;15;77;B3;15_2022;MET250138
PP;15-30;2022;PP_2022;C;7;165;A7;7_2022;MET250161
PP;15-30;2022;PP_2022;C;8;147;A8;8_2022;MET250167
PP;15-30;2022;PP_2022;C;9;167;A9;9_2022;MET250173
PP;0-15;2022;PP_2022;T;4;167;A4;4_2022;MET250143
PP;30-50;2022;PP_2022;T;16;85;B4;16_2022;MET250144
PP;0-15;2022;PP_2022;T;5;204;A5;5_2022;MET250149
PP;30-50;2022;PP_2022;T;17;69;B5;17_2022;MET250150
PP;0-15;2022;PP_2022;T;6;121;A6;6_2022;MET250155
PP;30-50;2022;PP_2022;T;18;58;B6;18_2022;MET250156
PP;15-30;2022;PP_2022;T;10;194;A10;10_2022;MET250179
PP;15-30;2022;PP_2022;T;11;228;A11;11_2022;MET250185
PP;15-30;2022;PP_2022;T;12;113;A12;12_2022;MET250191
PP;0-15;2023;PP_2023;C;41;78;F1;41_2023;MET250130
PP;15-30;2023;PP_2023;C;42;64;F2;42_2023;MET250136
PP;30-50;2023;PP_2023;C;43;45;F3;43_2023;MET250142
PP;0-15;2023;PP_2023;C;31;216;E7;31_2023;MET250165
PP;15-30;2023;PP_2023;C;32;98;E8;32_2023;MET250171
PP;30-50;2023;PP_2023;C;33;39;E9;33_2023;MET250177
PP;0-15;2023;PP_2023;C;36;159;E10;36_2023;MET250183
PP;15-30;2023;PP_2023;C;37;80;E11;37_2023;MET250189
PP;30-50;2023;PP_2023;C;38;37;E12;38_2023;MET250195
PP;0-15;2023;PP_2023;T;46;175;F4;46_2023;MET250148
PP;15-30;2023;PP_2023;T;47;118;F5;47_2023;MET250154
PP;30-50;2023;PP_2023;T;48;46;F6;48_2023;MET250160
PP;0-15;2023;PP_2023;T;51;212;F7;51_2023;MET250166
PP;15-30;2023;PP_2023;T;52;114;F8;52_2023;MET250172
PP;30-50;2023;PP_2023;T;53;36;F9;53_2023;MET250178
PP;0-15;2023;PP_2023;T;56;140;F10;56_2023;MET250184
PP;15-30;2023;PP_2023;T;57;126;F11;57_2023;MET250190
PP;30-50;2023;PP_2023;T;58;25;F12;58_2023;MET250196
PP;0-15;2024;PP_2024;C;41;120;C1;Plaque2_Ech-41_2024;MET250199
PP;15-30;2024;PP_2024;C;42;83;C2;Plaque2_Ech-42_2024;MET250203
PP;30-50;2024;PP_2024;C;43;34;C3;Plaque2_Ech-43_2024;MET250207
PP;0-15;2024;PP_2024;C;46;153;C4;Plaque2_Ech-46_2024;MET250211
PP;15-30;2024;PP_2024;C;47;74;C5;Plaque2_Ech-47_2024;MET250214
PP;30-50;2024;PP_2024;C;48;28;C6;Plaque2_Ech-48_2024;MET250217
